District_ID,SE_15_16_AlgI,SE_15_16_AlgII,SE_15_16_Geo,SE_15_16_1,SE_15_16_2,SE_15_16_3,SE_15_16_4,SE_15_16_5,SE_15_16_6,SE_15_16_7,SE_15_16_8,SE_15_16_K,SE_15_16_PreCalc,SE_15_16_Tot
001i000001b0WagAAE,0,0,0,60,60,60,60,60,60,0,0,60,0,1560
001i000001b117QAAQ,0,0,0,35,30,30,30,30,30,30,30,40,0,1020
001i000001b15FtAAI,0,0,0,0,0,0,0,0,10,6,6,0,0,66
001i000001b17bkAAA,100,0,100,0,0,0,0,0,0,0,0,0,0,400
001i000001BDLXAAA5,0,0,0,0,10,10,10,20,3,0,0,0,0,189
001i000001btr1JAAQ,0,0,0,0,0,0,0,0,0,0,0,20,0,80
001i000001btyMMAAY,0,0,0,0,0,0,20,80,0,0,0,0,0,320
001i000001budreAAA,0,0,0,5,5,5,5,5,0,0,0,5,0,115
001i000001bUweeAAC,0,0,0,0,0,0,0,0,60,60,61,0,0,543
001i000001buXiFAAU,0,0,0,0,0,0,0,60,120,120,60,0,0,1080
001i000001buY9pAAE,0,0,0,0,0,0,0,0,0,36,31,0,0,201
001i000001bUz2xAAC,50,0,0,0,0,0,0,0,41.66666667,41.66666667,41.66666667,0,0,475
001i000001bvCrYAAU,50,0,0,0,0,0,0,0,0,90,110,0,0,700
001i000001bvIpRAAU,0,0,0,25,80,60,0,0,0,0,0,0,0,660
001i000001bVmsVAAS,0,0,0,150,150,175,150,180,0,0,0,0,0,3040
001i000001bw2U4AAI,0,0,0,75,75,75,75,75,50,0,0,75,0,1875
001i000001bw7CAAAY,0,0,0,0,210,160,160,0,0,0,0,0,0,2120
001i000001bwAGXAA2,0,0,0,120,120,0,0,0,0,0,0,0,0,960
001i000001bWQsHAAW,0,0,0,0,0,20,0,0,0,0,0,0,0,80
001i000001bws5dAAA,0,0,0,226,216,226,216,216,0,0,0,226,0,5088
001i000001bWsASAA0,10,3,10,0,0,0,0,0,4,6,10,0,3,112
